valor_1,contratacao_1,valor_2,contratacao_2,match_palavras
ULTRA SOM SERVICOS MEDICOS S A,rede propria,ULTRA SOM SERVICOS MEDICOS S.A,rede credenciada,ultra som servicos medicos s
ULTRA SOM SERVICOS MEDICOS S.A.,rede propria,ULTRA SOM SERVICOS MEDICOS S.A,rede credenciada,ultra som servicos medicos s
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL,rede propria,SAO FRANCISCO REDE DE SAUDE ASSIST SA,rede credenciada,sao francisco rede de saude
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL,rede propria,SAO FRANCISCO REDE DE SAUDE AS,rede credenciada,sao francisco rede de saude
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL,rede propria,SAO FRANCISCO REDE DE SAUDE,rede credenciada,sao francisco rede de saude
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,SAO FRANCISCO REDE DE SAUDE ASSIST SA,rede credenciada,sao francisco rede de saude
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,SAO FRANCISCO REDE DE SAUDE AS,rede credenciada,sao francisco rede de saude
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,SAO FRANCISCO REDE DE SAUDE,rede credenciada,sao francisco rede de saude
SAO FRANCISCO REDE DE SAUDE ASSISTEN LTDA,rede propria,SAO FRANCISCO REDE DE SAUDE ASSIST SA,rede credenciada,sao francisco rede de saude
SAO FRANCISCO REDE DE SAUDE ASSISTEN LTDA,rede propria,SAO FRANCISCO REDE DE SAUDE AS,rede credenciada,sao francisco rede de saude
SAO FRANCISCO REDE DE SAUDE ASSISTEN LTDA,rede propria,SAO FRANCISCO REDE DE SAUDE,rede credenciada,sao francisco rede de saude
INNMA INSTITUTO DE NEUROLOGIA E NEUROFISIOLOGIA DO MARANHAO,rede credenciada,INCORD INSTITUTO NEUROLOGIA E DO CORACAO DE D,rede propria,instituto de neurologia e do
INSTITUTO DO CEREBRO - FUNDACAO DE NEUROLOGIA E NEUROCIRURGIA,rede credenciada,INCORD INSTITUTO NEUROLOGIA E DO CORACAO DE D,rede propria,instituto do de neurologia e
BIOANALISE LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
LULAC LAB ANAL CLINICAS SS LTDA ME,rede credenciada,LAB ANAL CLINICAS SAO FRANCISCO SS LTDA,rede propria,lab anal clinicas ss ltda
LAB ANALISES CLINICAS SAO LUIZ SS LTDA,rede credenciada,LAB ANAL CLINICAS SAO FRANCISCO SS LTDA,rede propria,lab clinicas sao ss ltda
CASA DE SAUDE E MATERNIDADE DE CAXIAS,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
HOSPITAL E MATERNIDADE SANTA MONICA SA,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,hospital e maternidade santa monica
HOSPITAL E MATERNIDADE SANTA MONICA SA,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,hospital e maternidade santa monica
HOSPITAL E MATERNIDADE SANTA MONICA SA,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA,rede propria,hospital e maternidade santa monica
HOSPITAL E MATERNIDADE SANTA MONICA SA,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,hospital e maternidade santa monica
NOTRE DAME INTERMEDICA MINAS GERAIS SAUDE SA,rede propria,NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,notre dame intermedica saude sa
MEGARON LABORATORIO DE ANALISES CLINICAS SC L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
HEMOCENTER LAB DE ANAL CLINICAS SS LTDA,rede credenciada,LAB ANAL CLINICAS SAO FRANCISCO SS LTDA,rede propria,lab anal clinicas ss ltda
CASA DE SAUDE E MATERNIDADE N S PERPETUO,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
ULTRA SOM SERVICOS MEDICOS S.A. PA UBERLANDIA,rede propria,ULTRA SOM SERVICOS MEDICOS S.A,rede credenciada,ultra som servicos medicos s
HOSPITAL E MATERNIDADE SANTA BRIGIDA S.A,rede propria,HOSPITAL E MATERNIDADE MARINGA S A,rede credenciada,hospital e maternidade s a
HOSPITAL E MATERNIDADE SANTA BRIGIDA S.A,rede propria,CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,e maternidade santa s a
HOSPITAL E MATERNIDADE SANTA BRIGIDA S.A,rede propria,HOSPITAL E MATERNIDADE SANTA JOANA S A,rede credenciada,hospital e maternidade santa s
LABOR VIDA LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
LABORATORIO DE ANALISES CLINICAS DAS NACOES L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
CASA DE SAUDE E MATERNIDADE STA. FILOMENA S/A,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,HOSPITAL E MATERNIDADE MARINGA S A,rede credenciada,hospital e maternidade s a
HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,e maternidade santa s a
HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,HOSPITAL E MATERNIDADE SANTA JOANA S A,rede credenciada,hospital e maternidade santa s
HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,HOSPITAL E MATERNIDADE MARINGA S A,rede credenciada,hospital e maternidade s a
HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,e maternidade santa s a
HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,HOSPITAL E MATERNIDADE SANTA JOANA S A,rede credenciada,hospital e maternidade santa s
CASA DE SAUDE E MATERNIDADE NOSSA SRA DE FATI,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
INSTITUTO HERMES PARDINI S A,rede credenciada,INSTITUTO HERMES PARDINI S/A,rede propria,instituto hermes pardini s a
HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,HOSPITAL E MATERNIDADE MARINGA S A,rede credenciada,hospital e maternidade s a
HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,e maternidade santa s a
HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,HOSPITAL E MATERNIDADE SANTA JOANA S A,rede credenciada,hospital e maternidade santa s
LABORATORIO DE ANALISES CLINICAS VIOTTI S S L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
LABORLIDER LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
CASA DE SAUDE E MATERNIDADE NOSSA SENHORA APA,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
CASA DE SAUDE E MATERNIDADE SANTA MARTHA,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
LABORPRATA LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
BIOLAB LABORATORIO DE ANALISES CLINICAS S C L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
PARAISOLAB LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SAUDE SA,rede propria,notre dame intermedica saude sa
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SAUDE SA GARAGEM SANTA BRIGIDA,rede propria,notre dame intermedica saude sa
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SAUDE SA GARAGEM SAMBAIBA 2,rede propria,notre dame intermedica saude sa
NOTRE DAME INTERMEDICA SAUDE SA LAB NOTRELABS,rede credenciada,NOTRE DAME INTERMEDICA SISTEMA DE SAUDE SA,rede propria,notre dame intermedica saude sa
MINASLABOR LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
CASA DE SAUDE E MATERNIDADE SANTA MARTHA S A,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
CENTRO CLINICO E INFANTIL DE PERUIBE LTDA,rede propria,CENTRO CLINICO E ORTOPEDICO DE CEILANDIA LTDA,rede credenciada,centro clinico e de ltda
DIAGNOSTIC LABORATORIO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
LABORATORIO DELIBERATO DE ANALISES CLINICAS L,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas l
CASA DE SAUDE E MATERNIDADE SAO VICENTE,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
D J L LABORATORIO DE ANALISES CLINICAS,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,l laboratorio de analises clinicas
CC IPSA (PRONTO ATENDIMENTO DE 8 AS 18),rede propria,CC IPSA (PRONTO ATEND 8 AS 18),rede credenciada,cc ipsa pronto 8 as
CASA DE SAUDE E MATERNIDADE TEREZINHA DE JESU,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e maternidade
CASA DE SAUDE E MATERNIDADE,rede propria,CASAMATER - CASA DE SAUDE E MATERNIDADE TERESINA ***ATENDIMENTO SOB ENCAMINHAMENTO.,rede credenciada,casa de saude e maternidade
